RA,Ano,Fase,fase_num,Fase_Ideal,Defasagem,INDE_ano,IAA,IEG,IPS,IPP,IDA,IPV,IAN,Mat,Por,Ing,Idade,ano_nasc_obs,Gênero,Ano ingresso,Pedra_ano,Instituicao,Pedra20,Pedra21,Pedra22_hist,Pedra23_hist,INDE22_hist,INDE23_hist,Atingiu_PV,Rec_Psicologia,ano_nasc,idade_padronizada,Fase_Ideal_base,Defasagem_base,fase_ideal_num,IDA_original,IPP_origem,_ipp_reconstruido_invalido,_recuperado_algebrico,excluir_tudo,n_feat_modelo,motivo_exclusao_modelo,excluir_modelo
RA-56,2022,5,5,5,0,8.404,10.0,10.0,7.5,6.04,7.0,8.25,10.0,4.5,6.5,10.0,15.0,2007,Menina,2019,Topázio,Rede Decisão,Topázio,Topázio,Topázio,,,,Não,Sem limitações,2007,15,Fase 5 (1º EM),0,5,7.0,reconstruido_2022,False,,False,5,,False
RA-57,2022,5,5,6,-1,7.305,7.1,8.1,5.6,6.6,8.4,7.875,5.0,9.0,7.0,9.3,16.0,2006,Menino,2017,Ametista,Rede Decisão,Ametista,Ametista,Ametista,,,,Não,Requer avaliação,2006,16,Fase 6 (2º EM),-1,6,8.4,reconstruido_2022,False,,False,5,,False
RA-58,2022,5,5,5,0,8.136,9.6,9.2,6.3,6.41,7.2,8.125,10.0,4.5,8.0,9.0,15.0,2007,Menino,2017,Topázio,Rede Decisão,Topázio,Topázio,Topázio,,,,Não,Sem limitações,2007,15,Fase 5 (1º EM),0,5,7.2,reconstruido_2022,False,,False,5,,False
RA-59,2022,5,5,7,-2,7.642,9.2,9.3,7.5,5.886,7.2,7.917,5.0,7.0,5.7,8.8,17.0,2005,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2005,17,Fase 7 (3º EM),-2,7,7.2,reconstruido_2022,False,,False,5,,False
RA-60,2022,5,5,8,-3,5.537,6.7,6.0,7.5,4.536,4.9,6.167,2.5,5.0,6.2,3.5,18.0,2004,Menina,2021,Quartzo,Escola Pública,,Quartzo,Quartzo,,,,Não,Não atendido,2004,18,Fase 8 (Universitários),-3,8,4.9,reconstruido_2022,False,,False,5,,False
RA-61,2022,5,5,5,0,7.533,9.2,7.4,7.5,6.48,5.8,7.875,10.0,1.7,6.3,9.3,15.0,2007,Menino,2021,Ametista,Escola Pública,,Ágata,Ametista,,,,Não,Não atendido,2007,15,Fase 5 (1º EM),0,5,5.8,reconstruido_2022,False,,False,5,,False
RA-62,2022,5,5,7,-2,7.891,8.8,9.4,7.5,5.91,9.2,7.25,5.0,8.5,10.0,,17.0,2005,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2005,17,Fase 7 (3º EM),-2,7,9.3,reconstruido_2022,False,,False,5,,False
RA-63,2022,5,5,6,-1,8.282,8.3,9.1,8.8,6.286,8.7,9.417,5.0,8.2,8.2,9.7,16.0,2006,Menino,2018,Topázio,Rede Decisão,Ametista,Ametista,Topázio,,,,Sim,Sem limitações,2006,16,Fase 6 (2º EM),-1,6,8.7,reconstruido_2022,False,,False,5,,False
RA-64,2022,5,5,6,-1,7.368,7.1,8.1,8.1,5.78,7.5,8.25,5.0,4.8,8.2,9.4,16.0,2006,Menino,2019,Ametista,Escola Pública,Ametista,Topázio,Ametista,,,,Não,Sem limitações,2006,16,Fase 6 (2º EM),-1,6,7.5,reconstruido_2022,False,,False,5,,False
RA-65,2022,5,5,7,-2,7.712,8.3,7.7,7.5,6.57,9.3,7.875,5.0,9.0,9.5,9.5,17.0,2005,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2005,17,Fase 7 (3º EM),-2,7,9.3,reconstruido_2022,False,,False,5,,False
